ticker,equity,earnings,long_term_debt,Conservatively_Financed,equity_per_share,Average EPS,SD of EPS,Average Annual Compounding Growth Rate,Average Annual Compounding Years,Compounding Growth Rate from Beginning of Data to Now,Average Return on Equity,percent_retained_earnings_last_year,avg_percent_retained_earnings,Percent Rate of Return from Retained Earnings,Return on Retained Equity,Return on Equity Paid,Percent Annual Growth Rate,Future Equity Per Share,Future Earnings Per Share,Future Stock Price Based On Pe,Shares Outstanding Trend,share_price_for_7_percent_gov_bond,Estimated Initial Return Rate
GOOGL,325084000000,100118000000,10883000000,Yes,26.1174580220133,6.0635,1.287255510767,0.156855379625995,4,0.126050050142603,0.245157191571975,0.93127147766323,0.982817869415808,0.102984696034497,0.240944868692732,0.00421232287924355,0.240944868692732,76.8587546451918,18.8424764365347,558.08959205661,Buy Back,116.142857142857,0.0337624580438752
GOOG,325084000000,100118000000,10883000000,Yes,26.1174580220133,6.0635,1.287255510767,0.156855379625995,4,0.126050050142603,0.245157191571975,0.93127147766323,0.982817869415808,0.102984696034497,0.240944868692732,0.00421232287924355,0.240944868692732,76.8587546451918,18.8424764365347,559.433832011689,Buy Back,116.142857142857,0.0336813316577197
AMZN,285970000000,59248000000,52623000000,Yes,26.6738177408824,2.9095,2.1111041542283,-4.02971655226506,4,0.197260331256874,0.145148987570402,1,1,0.202955834335797,0.145148987570402,0,0.145148987570402,52.5285178251738,7.62446118089781,307.335825421523,Distributing More,80.8571428571429,0.0248082408565307
AMD,57568000000,1641000000,1721000000,Yes,35.1667684789249,1.25,0.803990049689671,-0.0483799042641708,4,-0.271280671598897,0.12241579593656,1,1,-0.32,0.12241579593656,0,0.12241579593656,62.6471490738992,7.66900061703767,1204.03315248822,Distributing More,14.4285714285714,0.00636942645739375
ABT,47664000000,13402000000,12625000000,Yes,27.2677345537757,4.759349,1.74392490601015,0.38918426346101,4,0.245217276091935,0.203978600405921,0.791394512346326,0.713318712401563,0.314118347152861,0.145501752599025,0.0584768478068967,0.145501752599025,53.7808729843928,10.9701471999651,189.558739819788,Distributing More,110.560357142857,0.057872020094638
AIG,42521000000,-1404000000,8922000000,Yes,64.692057529665,7.0075,6.15622195425084,-0.65680141503676,4,(-0.7171716634886379+0.48987304865786674j),0.114783839739891,1,0.903036926885446,-0.627029398859149,0.103654045894823,0.0111297938450683,0.103654045894823,105.929217131063,12.1589622829441,NA,Stagnant,-31.2857142857143,-0.0277461040356336
AXP,30264000000,10129000000,49715000000,No,42.4460028050491,11.2925,1.67133741357034,0.123746521466888,4,0.11826431158242,0.325166656886727,0.858190709046455,0.853217688311976,0.106894708711919,0.277437943305027,0.0477287135817003,0.277437943305027,144.389581291028,46.950677437678,1087.85788907588,Buy Back,200.571428571429,0.0431588334369317
ACN,28288646000,7264787000,78628000,Yes,44.4831965951809,10.6625,0.829499095840375,0.0772631803531321,4,0.0751306079555349,0.284453572906901,0.683806146572104,0.708722303358396,0.0903638544582167,0.201598591389104,0.0828549815177967,0.201598591389104,111.427667899064,31.6959982545725,653.479966364995,Distributing More,165.285714285714,0.0485033970220733
AEP,26943800000,2967100000,39307800000,No,50.7093696680508,4.835,0.509828402504215,0.0555220953709445,4,0.0405841649670133,0.101264120330546,0.624303232998885,0.608637692782975,0.0905172413793104,0.0616331605596809,0.0396309597708649,0.0616331605596809,68.3849587633826,6.92494269301459,135.357896578108,Distributing More,80,0.0511602416119002
AFL,26098000000,5443000000,7402000000,Yes,46.1899241613055,7.7175,1.23665627803363,0.148558402010876,4,0.14669198360131,0.19176958709003,0.852112676056338,0.843529847791307,0.12962226640159,0.161763370609055,0.0300062164809753,0.161763370609055,97.7542496167871,18.746292085307,211.34119873774,Distributing More,138.285714285714,0.0887015508441866
ALL,19441000000,4667000000,8085000000,Maybe,72.5952203136669,3.96,8.48369023479759,-6.05194307608101,4,0.506147609682632,0.0536536755257663,0.828681424446583,0.49580671974801,3.5,0.0266018528648542,0.027051822660912,0.0266018528648542,82.7786322732551,4.44137787645595,51.6845360018703,Buy Back,246,0.0859324320198063
ARE,17889042000,322949000,12244374000,No,103.963143121153,2.3375,1.27055844021438,0.44447728678479,4,-0.222516387843792,0.0216111084892343,0.266272189349112,0.314668665823557,0.224309392265193,0.00680033867527548,0.0148107698139588,0.00680033867527548,107.546471437434,2.32419846186872,109.650516181198,Distributing More,25.7142857142857,0.0211964206171904
APD,17036500000,3828200000,13533000000,No,76.4654398563734,11.7975,3.14201666927469,0.251454796065112,4,0.220329089271749,0.178022946295769,0.710863279636514,0.648279969557206,0.346308724832215,0.115408710205105,0.0626142360906638,0.115408710205105,132.018668695096,23.5023523671461,399.88140571087,Stagnant,245.857142857143,0.0587733063640853
ADBE,14105000000,5560000000,4129000000,Yes,31.3653546808984,11.1325,1.03663819628644,0.0739716949046619,4,0.0716424739257806,0.346788946133139,1,1,0.0523242757691444,0.346788946133139,0,0.346788946133139,138.978595698555,48.1962407373656,1354.61286870526,Stagnant,177.571428571429,0.0355793465799801
AEE,12114000000,1182000000,17262000000,No,45.3029169783096,4.21,0.226825924444275,0.0473734287014735,4,0.0469810162874758,0.0946481343856634,0.623066104078762,0.633344438383743,0.0805084745762712,0.0599448695165571,0.0347032648691064,0.0599448695165571,60.6097582463889,5.73660054358679,130.517375629826,Distributing More,63.2857142857143,0.0439527726933231
AMCR,11728000000,511000000,13841000000,No,7.36220966729441,0.51675,0.137521589214203,-0.106459621592349,4,-0.154984905725035,0.172295510570477,0.389563106796117,0.504673576948276,-1.86725663716814,0.0869529916117322,0.0853425189587451,0.0869529916117322,11.1702268339297,1.92457993553996,49.6433686989177,Distributing More,4.58571428571429,0.0387681171922952
AWK,10332000000,1051000000,12518000000,No,52.9846153846154,5.44,0.931316272809619,-0.055178997714742,4,-0.0816818347252256,0.119432587448652,0.65981148243359,0.684128233562118,-0.131888440860215,0.0817072050809995,0.0377253823676526,0.0817072050809995,78.4690506839259,9.3717617578207,242.170494654755,Distributing More,77,0.0386990238888571
AME,9655304000,1376124000,1425375000,Yes,41.5875745150064,5.245,0.643836159282779,0.116545734966788,4,0.115201190865188,0.133749484808388,0.841584158415842,0.846627713761184,0.0966239813736904,0.113236020540062,0.0205134642683263,0.113236020540062,71.1049512420151,9.51025059594506,303.576777484486,Distributing More,85,0.0313273323300597
ABNB,8412000000,2648000000,1995000000,Yes,13.0418604651163,3.5275,2.89306390354586,-1.70711964424637,4,NA,0.292108507672925,1,1,0.337349397590362,0.292108507672925,0,0.292108507672925,46.9715054357533,13.7207763559886,401.308158543888,Buy Back,59.8571428571429,0.0341901256275807
ALB,7726412000,-1179449000,3118142000,No,65.7477449879165,6.5625,12.8624285712302,6.07196568963342,4,(0.09374165547705848+1.8944161176407595j),0.0933666775226633,1,0.808972512848502,-0.616582914572864,0.0755310757318246,0.0178356017908386,0.0755310757318246,94.6227744067316,8.83461406433303,NA,Distributing More,-160,-0.147407205911606
LNT,7004000000,690000000,8677000000,No,27.2741433021807,2.7075,0.0549431524395898,0.00798791042793564,4,0.00754745534418144,0.106018626900793,0.597512216792537,0.619716919216116,0.0143747005270724,0.0657015368424824,0.0403170900583108,0.0657015368424824,37.4911772998754,3.97476313822697,95.8375983536819,Distributing More,38.4285714285714,0.0414739434888423
A,5898000000,1289000000,3345000000,No,20.2680412371134,4.2075,0.162999233127031,0.0373521416839616,4,0.0371302448030797,0.21762327137117,0.822831727205337,0.819864260078779,0.0350556317634507,0.178421542358648,0.0392017290125224,0.178421542358648,46.0590678898485,10.0235250304956,278.220541294081,Buy Back,63.4285714285714,0.0360272644998583
AMP,5228000000,3401000000,4762000000,Maybe,50.8066083576288,28.8175,3.3700547102384,0.0727852829882219,4,0.0494639962487813,0.648554149197126,0.863997947138825,0.859389930473329,0.0470125297711505,0.557360905186707,0.0911932440104192,0.557360905186707,465.443045527407,301.865018391747,4456.52091739846,Distributing More,481,0.0677355775922092
AKAM,4878357000,504918000,2396695000,No,31.6066305573193,3.5575,0.284901298698339,-0.0526678649561746,4,-0.0591204453534624,0.121644525088044,1,1,-0.0470836261419536,0.121644525088044,0,0.121644525088044,56.1118263144014,6.82569646383814,157.031883618226,Buy Back,47.7142857142857,0.0434669463714304
ALGN,3851985000,421362000,88214000,Yes,51.364594028776,6.4625,1.96891308848308,-0.100171050110965,4,-0.168127987090512,0.136370097412864,1,1,-0.160541586073501,0.136370097412864,0,0.136370097412864,97.3336132125552,13.2733943153422,310.168334586265,Buy Back,80.4285714285714,0.0427941631535264
MMM,3842000000,4173000000,11125000000,No,6.95510499637944,3.8475,9.5741484608293,-1.27971197142498,4,-0.0951056901242507,0.104228985664712,0.430352989374937,0.611992151966892,0.108863367846444,0.0637873212342737,0.0404416644304387,0.0637873212342737,9.47496773988445,0.987566276734029,20.5682167923351,Stagnant,108.285714285714,0.0480141903746392
AES,3644000000,1679000000,25431000000,No,5.12200119094118,0.33,1.26591863877581,1.44182507177309,4,NA,0.0153824040818413,0.781865965834428,0.787781860720084,-2.59548611111111,0.0121179789099411,0.00326442517190014,0.0121179789099411,5.43995582481603,0.0836795986846862,0.452854302787869,Distributing More,34,0.184782607053828
AMT,3382200000,2255000000,32808800000,No,7.22507049474494,4.3825,0.956696791047195,0.00742195045233685,4,-0.0531563125187324,0.460565121100327,0.428191489361702,0.440096358737045,0.190265486725664,0.20269303275754,0.257872088342787,0.20269303275754,18.1809287279744,8.37350164131594,338.199319983489,Distributing More,69,0.0247590729683452
ABBV,3325000000,4278000000,60340000000,No,1.87535250987028,4.59272675,2.0205395679139,-0.230622063234723,4,-0.283584254556177,1.09132458824466,0.27906976744186,0.423928847068821,0.899313655225553,0.462643974472415,0.628680613772246,0.462643974472415,12.5538242945893,13.7002971291885,1246.38451042293,Distributing More,34.2857142857143,0.0109920309620501
AOS,1883500000,533600000,183200000,Yes,12.8056007149108,2.99612125,0.862689146087215,0.286314742456859,4,0.0571224181998529,0.2340050226417,0.737373737373737,0.702719310664718,0.0771279725954421,0.164439848202857,0.0695651744388427,0.164439848202857,27.4148106780529,6.41520339343568,127.548303644894,Stagnant,52.1428571428571,0.0502962658860301
ALLE,1500700000,597500000,1977600000,No,17.1312785388128,5.8925,0.658725094405853,0.0882853634079959,4,0.0845229879921161,0.482663007409265,0.791907514450867,0.793008131443589,0.0850086157380815,0.382755689622564,0.0999073177867006,0.382755689622564,86.5998315102143,41.7985351178557,1067.96785327149,Buy Back,97.8571428571429,0.0391383832292469
MO,-2238000000,11264000000,23399000000,No,-1.30267753201397,3.9200625,1.90592136818882,0.748131539624729,4,0.696254384815006,-2.5803910371176,0.630057803468208,0.486068281162833,4.19270308405563,-1.25424623613973,-1.32614480097787,-1.25424623613973,0.00138391553486356,-0.00357104324228973,-0.036392972102078,Stagnant,93.4285714285714,0.0981245288863294
