symbol,side,qty,entry_ts,exit_ts,entry_price,exit_price,pnl,config,symbol_alt
AQMS,long,1.0,2025-10-13 11:00:11-04:00,2025-10-13 11:03:10-04:00,9.2435,8.9327,-0.31079999999999863,<NA>,AQMS
AQMS,long,1.0,2025-10-13 11:18:13-04:00,2025-10-13 11:19:11-04:00,9.9819,9.8233,-0.15859999999999985,<NA>,AQMS
AQMS,long,1.0,2025-10-13 11:39:12-04:00,2025-10-13 11:45:13-04:00,11.43,11.47,0.040000000000000924,<NA>,AQMS
STI,long,1.0,2025-10-13 12:34:26-04:00,2025-10-13 12:41:25-04:00,18.92,18.624,-0.2960000000000029,<NA>,STI
AQMS,long,1.0,2025-10-13 12:53:20-04:00,2025-10-13 12:53:30-04:00,11.17,11.1301,-0.03989999999999938,<NA>,AQMS
ELBM,long,1.0,2025-10-13 15:04:06-04:00,2025-10-13 15:07:07-04:00,6.67,6.8704,0.20040000000000013,<NA>,ELBM
ELBM,long,1.0,2025-10-13 15:29:05-04:00,2025-10-13 15:31:06-04:00,7.69,7.2587,-0.43130000000000024,<NA>,ELBM
GWAV,long,1.0,2025-10-14 09:01:05-04:00,2025-10-14 09:06:05-04:00,19.34,18.67,-0.6699999999999982,<NA>,GWAV
AQMS,long,1.0,2025-10-14 14:27:10-04:00,2025-10-14 14:38:13-04:00,25.54,27.0995,1.5594999999999999,<NA>,AQMS
GWAV,long,1.0,2025-10-14 14:45:11-04:00,2025-10-14 14:47:09-04:00,17.1841,16.6708,-0.513300000000001,<NA>,GWAV
AQMS,long,1.0,2025-10-14 15:13:09-04:00,2025-10-14 15:16:22-04:00,34.15,34.24,0.09000000000000341,<NA>,AQMS
GWAV,long,1.0,2025-10-14 15:27:09-04:00,2025-10-14 15:30:34-04:00,20.4882,19.56,-0.9282000000000004,<NA>,GWAV
AWX,long,1.0,2025-10-14 16:05:51-04:00,2025-10-14 16:13:03-04:00,6.4,7.3,0.8999999999999995,<NA>,AWX
SDOT,long,1.0,2025-10-15 11:40:08-04:00,2025-10-15 11:40:16-04:00,10.065,10.0602,-0.004799999999999471,<NA>,SDOT
OMER,long,1.0,2025-10-15 12:46:05-04:00,2025-10-15 12:53:06-04:00,10.8899,10.7101,-0.17980000000000018,<NA>,OMER
RYOJ,long,2.0,2025-10-15 16:55:51-04:00,2025-10-15 16:58:59-04:00,7.5924,7.5,-0.1847999999999992,<NA>,RYOJ
RYOJ,long,2.0,2025-10-15 16:57:46-04:00,2025-10-15 16:58:59-04:00,6.85,7.5,1.3000000000000007,<NA>,RYOJ
AQMS,long,1.0,2025-10-16 12:57:19-04:00,2025-10-16 13:00:00-04:00,16.8569,16.2104,-0.6464999999999996,<NA>,AQMS
ARTV,long,1.0,2025-10-16 17:14:20-04:00,2025-10-16 17:18:42-04:00,6.2995,6.0201,-0.27939999999999987,<NA>,ARTV
ELBM,long,5.0,2025-10-17 09:28:43-04:00,2025-10-17 09:38:15-04:00,2.44,2.49,0.25000000000000133,<NA>,ELBM
ARTV,long,2.0,2025-10-17 09:31:55-04:00,2025-10-17 09:46:14-04:00,5.5999,5.68,0.16019999999999968,<NA>,ARTV
RANI,long,10.0,2025-10-17 11:00:34-04:00,2025-10-17 11:11:26-04:00,1.7,1.55,-1.4999999999999991,<NA>,RANI
GWH,long,2.0,2025-10-17 11:03:15-04:00,2025-10-17 13:23:39-04:00,5.677,5.0008,-1.3523999999999994,<NA>,GWH
SNSE,long,1.0,2025-10-17 13:20:29-04:00,2025-10-17 13:24:04-04:00,11.8886,11.5275,-0.3611000000000004,<NA>,SNSE
SNSE,long,1.0,2025-10-17 13:22:31-04:00,2025-10-17 14:44:45-04:00,12.02,11.4789,-0.5411000000000001,<NA>,SNSE
ANRO,long,1.0,2025-10-20 10:11:08-04:00,2025-10-20 10:17:44-04:00,10.9584,11.1,0.1416000000000004,<NA>,ANRO
ATMV,long,3.0,2025-10-21 10:46:25-04:00,2025-10-21 10:56:06-04:00,13.944,14.0,0.16799999999999748,<NA>,ATMV
RYOJ,long,3.0,2025-10-21 10:54:25-04:00,2025-10-21 10:55:04-04:00,6.1282,6.12,-0.024599999999998623,<NA>,RYOJ
RYOJ,long,3.0,2025-10-21 14:44:30-04:00,2025-10-21 14:48:39-04:00,7.6926,7.3,-1.1777999999999995,<NA>,RYOJ
RYOJ,long,2.0,2025-10-21 16:00:36-04:00,2025-10-21 16:02:38-04:00,9.8542,9.0,-1.708400000000001,<NA>,RYOJ
BYND,long,3.0,2025-10-22 10:20:24-04:00,2025-10-22 10:22:20-04:00,7.0756,6.81,-0.7968000000000002,<NA>,BYND
