day,symbol,live_count,bt_count
2025-10-13,ACON,0.0,1.0
2025-10-13,AQMS,9.0,25.0
2025-10-13,ATON,0.0,2.0
2025-10-13,BLBX,5.0,6.0
2025-10-13,CHNR,2.0,3.0
2025-10-13,ELAB,0.0,5.0
2025-10-13,ELBM,7.0,11.0
2025-10-13,GWAV,0.0,4.0
2025-10-13,GWH,12.0,12.0
2025-10-13,LITM,1.0,1.0
2025-10-13,PSIG,0.0,2.0
2025-10-13,STI,10.0,14.0
2025-10-13,TAOX,0.0,2.0
2025-10-14,AQMS,9.0,21.0
2025-10-14,AWX,2.0,2.0
2025-10-14,BLBX,0.0,6.0
2025-10-14,COYA,0.0,1.0
2025-10-14,CRMLW,2.0,3.0
2025-10-14,CYN,0.0,1.0
2025-10-14,FOFO,0.0,2.0
2025-10-14,GWAV,12.0,13.0
2025-10-14,GWH,0.0,1.0
2025-10-14,RKDA,0.0,2.0
2025-10-14,SDOT,0.0,10.0
2025-10-14,SDST,0.0,1.0
2025-10-14,TMQ,0.0,7.0
2025-10-14,TVRD,0.0,1.0
2025-10-14,WKEY,0.0,1.0
2025-10-15,GWAV,0.0,3.0
2025-10-15,OMER,6.0,6.0
2025-10-15,RYOJ,4.0,4.0
2025-10-15,SDOT,3.0,3.0
2025-10-15,SOGP,0.0,8.0
2025-10-15,ZBAI,0.0,2.0
2025-10-16,AQMS,7.0,9.0
2025-10-16,ARTV,4.0,5.0
2025-10-16,CRMLW,1.0,1.0
2025-10-16,ELWS,3.0,3.0
2025-10-16,KZR,0.0,1.0
2025-10-16,WATT,0.0,2.0
2025-10-17,AQMS,0.0,1.0
2025-10-17,ARTV,2.0,1.0
2025-10-17,ELBM,1.0,0.0
2025-10-17,FGI,0.0,2.0
2025-10-17,GWH,2.0,1.0
2025-10-17,RANI,1.0,0.0
2025-10-17,SNSE,3.0,2.0
2025-10-17,UVXY,0.0,1.0
2025-10-20,ANRO,5.0,11.0
2025-10-20,GSIT,7.0,12.0
2025-10-20,REPL,4.0,4.0
2025-10-20,USARW,2.0,2.0
2025-10-20,VRCA,0.0,1.0
2025-10-21,ANRO,0.0,1.0
2025-10-21,ATMV,3.0,4.0
2025-10-21,GSIT,1.0,1.0
2025-10-21,MEC,0.0,1.0
2025-10-21,NERV,6.0,7.0
2025-10-21,OMSE,0.0,1.0
2025-10-21,RYOJ,7.0,9.0
2025-10-22,BYND,1.0,0.0
